,surface,prix
0,63.90508031418598,121984.41142445517
1,77.21514930979356,158934.43105435805
2,68.22107008573151,138770.45237011532
3,63.59065463975175,119500.09084811737
4,53.89238394711238,115226.02886320275
5,71.67152904533249,152822.5039708179
6,55.0069769010154,115907.85165782904
7,91.34184006256638,181784.055946071
8,97.09302084008235,188832.27857261198
9,50.67532150606222,106622.90164678011
10,83.33800304661317,164660.12135836045
11,62.311593580232355,130735.41251237685
12,65.44356488751458,131928.50466541346
13,94.04773106341288,192978.65730924433
14,25.682884655830954,53147.60129753391
15,26.970343976123257,57473.55379320625
16,21.61747179522606,43287.443694056215
17,86.60958764383504,182148.52775719925
18,82.25254007598804,165139.6406154942
19,89.60097185974553,181211.89053671455
20,98.28946737862113,205994.68824252352
21,83.93268513733788,161126.57496896354
22,56.91834898023455,107484.27296804043
23,82.44233410291643,169731.65174662293
24,29.461954069514658,53058.291113458516
25,71.19368170620191,152105.46934065028
26,31.468262992723712,60868.43108164869
27,95.57351336396671,187409.75267072965
28,61.747865740005736,133110.4416124134
29,53.17295519924188,113748.48435565589
30,41.16444896837016,91666.69273887317
31,81.93869515473733,168407.6136008516
32,56.492026577323884,108677.92472937427
33,65.47471590949188,140499.75658447892
34,21.50318403490841,41666.35121505992
35,69.41083976607017,142833.96151112232
36,68.96765781779371,142671.57547445616
37,69.35471974998055,137934.38903450692
38,95.49984628116994,194070.08941407027
39,74.54562392827867,153702.28121438998
40,48.76063204590288,99403.39174758391
41,54.962556303947316,104428.10865497366
42,75.8104956741812,153112.18221939265
43,24.818037730341587,56268.00494411833
44,73.34133723565341,143209.83517265
45,73.65102956945276,146553.88643726715
46,36.83060488590727,71485.44201320635
47,30.314103812388264,69874.52626717323
48,45.23426807393471,93830.00993293159
49,49.09686167540981,100231.03253202517
50,65.61574163343037,127381.90289463416
51,55.08812107698563,112872.48811043033
52,99.0699070447381,194768.1507861893
53,28.163584859842246,56486.32251105625
54,36.71014048758678,70241.05058327914
55,32.9047614307997,69191.6893363319
56,72.24866603723187,147380.28615753844
57,40.26332820318257,79485.16262847515
58,57.3048618285045,116589.75722031723
59,39.55404736012822,73642.78717660392
60,32.71756669164158,57978.84541975513
61,28.83001129314441,59856.9810926115
62,72.50636715722187,145846.1017913064
63,31.054636107889102,65284.42940023874
64,35.726588934404276,83368.90174312826
65,49.49801365287713,103718.42474070632
66,85.67945838783481,166794.80564844885
67,27.7681020634449,61121.285567369065
68,87.0355925999043,167491.64814725102
69,27.687872631517045,53067.82223896055
70,98.11675720107166,195892.3063755202
71,57.492096131816126,123550.90587187909
72,98.14088705522697,192558.00000021173
73,68.38764157960368,132643.09046591228
74,79.14108635186413,157789.9100816011
75,23.135023380345654,42952.65532888077
76,42.62455700611277,90882.29362275806
77,29.61572489705351,53831.7922522899
78,43.69121580177159,81645.08834148767
79,29.498217516339523,56807.334808956875
80,45.43865435151808,88387.14644957463
81,53.1410395611736,115929.73939143213
82,25.13179970790275,55010.70345043431
83,75.39776954960159,151233.29530612915
84,65.32811633652601,124529.05507890118
85,41.23115927515563,86684.133432319
86,61.859844277335974,118718.61181772412
87,27.515240860675334,47306.62623746261
88,66.07571964449434,138091.58825075018
89,94.34369580609713,190272.10467181852
90,45.48551619610589,95575.32651111588
91,73.39283039709454,148379.2990589042
92,30.543828992351372,65371.8110442162
93,77.30617632948524,151357.22469246975
94,43.15248743577609,81133.76066262985
95,34.65530896056934,72718.59051254683
96,66.92103478480665,129825.02124874409
97,21.608603694999484,39769.458501247966
98,86.31520233738905,170352.7421571914
99,20.375638095403765,40838.671985932815
